name,count,last_value,min_value,max_value,mean_value,sum_abs_delta,first_seen,last_seen
Depth,18560,0.121,0.015,2.0,0.6845617995689608,147.77900000000102,1770945681.8173907,1771023980.480281
Peak Floor,4316,0.956,0.05,1.228,0.5528280815569977,32.92400000000077,1770934138.5612986,1770945345.4634717
Depth Freq (Hz) [high],2959,195.0,112.0,22050.0,4182.7117269347755,961445.0,1770934131.5067172,1771025351.1926413
Depth Freq (Hz) [low],2959,30.0,30.0,16198.0,1355.94187225414,60368.0,1770934131.5067172,1771025351.1926413
Freq Range (Hz) [high],2607,162.0,100.0,22050.0,5090.178749520522,1216950.0,1770934131.5067172,1771025351.1916447
Freq Range (Hz) [low],2607,30.0,30.0,221.0,35.35749904104335,466.0,1770934131.5067172,1771025351.1916447
Peak Decay,1920,0.29,0.24,0.999,0.5681953124999998,3.5989999999999447,1770944421.872631,1771020553.2929204
Sent Value [high],1331,9999.0,5000.0,9999.0,8442.968444778362,1067964.0,1770934131.5067172,1771025351.1926413
Sent Value [low],1331,4999.0,0.0,4999.0,3028.679939894816,199858.0,1770934131.5067172,1771025351.1926413
Audio Amplification,1284,2.85,0.15,10.0,4.466542056074767,34.90000000000008,1770934157.6665637,1771022565.3243966
Flux Threshold,1103,0.021,0.001,0.1062,0.05136990027198558,0.45839999999999875,1770951604.8540344,1771025351.1926413
Creep Speed,764,0.252,0.021,1.014,0.5286976439790582,1.8210000000000255,1770935018.592049,1771025351.1926413
Monitor Freq (Hz) [high],742,200.0,200.0,22050.0,3831.929919137466,2354448.0,1770934131.5067172,1771025351.1926413
Monitor Freq (Hz) [low],742,30.0,30.0,356.0,156.7088948787062,27528.0,1770934131.5067172,1771025351.1926413
Flux Multiplier,693,1.8,0.22,3.18,1.6605050505050485,65.91000000000078,1770934142.5723836,1771023987.7496214
Circle Speed,692,6.9,0.3,8.49,5.546835260115602,12.540000000000028,1770934131.5067172,1771025351.1926413
Freq Depth Factor,651,0.0,0.0,1.37,0.5019815668202765,7.049999999999902,1770948381.1861331,1771025351.1926413
Burst sensitivity (flux multiplier),492,3.57,0.5,10.0,4.2856504065040655,30.45000000000017,1770948718.7340636,1771020639.7080438
Burst magnitude (pattern size),374,5.56,0.05,7.8,3.285775401069519,31.480000000000217,1770948600.2417138,1771020646.1701536
Intensity,350,1.05,0.25,2.0,1.123285714285714,3.539999999999968,1770950878.3301163,1770950886.5425725
Circle Size,278,0.022,0.015,0.099,0.0503705035971223,0.36700000000000027,1770934164.5898736,1771025351.1926413
Flux Rise Depth Factor,263,0.0,0.0,1.44,0.5560456273764262,4.06999999999999,1770948299.3295135,1771009794.146372
Full stroke threshold (enter),183,0.067,0.031,0.145,0.08216393442622953,0.5700000000000003,1770948458.22447,1770964737.6397154
Min Interval (ms),165,487.0,256.0,487.0,386.3151515151515,301.0,1770934131.5067172,1771025351.1916447
Flux threshold,161,0.021,0.009,0.174,0.08357142857142857,0.5520000000000004,1770950129.423629,1771011965.073514
Flux Scaling (size),148,0.0,0.0,0.99,0.3450000000000001,1.2900000000000007,1770953303.849281,1771025351.1926413
Stroke Min/Max [low],148,0.0,0.0,0.0,0.0,0.0,1770934131.5067172,1771025351.1916447
Stroke Min/Max [high],148,1.0,1.0,1.0,1.0,0.0,1770934131.5067172,1771025351.1916447
Stroke Fullness,140,0.78,0.71,1.0,0.8604999999999999,0.9499999999999997,1770948248.4650495,1771025351.1916447
Vol,108,100.0,46.0,100.0,77.52777777777777,153.0,1770956290.2352002,1770956558.5846663
"Phase Advance (0=downbeats, 1=all)",105,0.0,0.0,1.0,0.44457142857142856,1.8600000000000005,1770953105.1122038,1770956267.1193078
Minimum Depth,93,0.15,0.0,0.21,0.12709677419354853,0.5400000000000003,1770948351.2307594,1771025351.1926413
Stability Threshold,84,0.11,0.05,0.28,0.17785714285714263,0.29000000000000004,1770934131.5067172,1771025351.1916447
Silence Reset (ms),83,298.0,298.0,397.0,319.32530120481925,105.0,1770949956.884033,1771025351.1916447
Max Reduction %,64,20.0,5.0,20.0,17.140625,37.0,1770948865.6510158,1771025351.1926413
Creep threshold (exit),63,0.038,0.011,0.062,0.03788888888888888,0.1730000000000001,1770948490.4906194,1770964768.223993
Flux drop ratio (creep fallback),56,0.2,0.05,0.5,0.2564285714285714,1.640000000000001,1770950101.706378,1770956450.9568512
Tempo Timeout (ms),47,1985.0,1985.0,1997.0,1985.6382978723404,12.0,1770956014.665081,1771025351.1916447
BPM limit (disable above),26,100.0,100.0,157.0,125.03846153846153,75.0,1770948432.8047867,1771009637.869497
Syncopation speed (beat fraction),20,0.9,0.53,0.91,0.769,0.39,1770948447.8286896,1771009648.1004548
Syncopation arc size (circle fraction),18,0.9,0.53,0.9,0.7538888888888889,0.37,1770948446.424183,1771009642.017444
Volume reduction (%),6,0.15,0.06,0.15,0.105,0.15,1770949924.4446547,1770949927.4809005
Z-Score Sens,4,1.8,1.8,3.5,2.6500000000000004,5.1,1770953963.827742,1770953983.8597245
Rise Sensitivity,4,0.1,0.1,0.7,0.4,1.7999999999999998,1770953963.828451,1770953983.8608217
Sensitivity,4,0.8,0.3,0.8,0.55,1.5,1770953963.8284225,1770953983.8607976
Snap min confidence,4,0.67,0.58,0.67,0.625,0.09000000000000008,1770965603.4927108,1770965604.1700668
Off-beat window (± beat fraction),4,0.27,0.18,0.27,0.225,0.09000000000000002,1770957318.2962012,1770957323.643194
Snap max phase err ms,2,29.0,29.0,32.0,30.5,3.0,1770965600.2407217,1770965600.9314048
Auto-Adjust Speed,2,0.94,0.94,0.97,0.955,0.030000000000000027,1770964805.441903,1770964805.5645447
Snap max BPM jump,1,0.09,0.09,0.09,0.09,0.0,1770965597.0998344,1770965597.0998344
